toi_id,hostname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2
486.0,TOI 486,3445.0,87.0,87.0,0.426676,0.0127833,0.0127833
4871.0,TOI 4871,6176.0,134.5,134.5,1.56,0.09,0.09
487.0,TOI 487,5450.0,185.0,185.0,,,
4877.0,TOI 4877,6718.0,134.4,134.4,1.67,0.07,0.07
4887.0,TOI 4887,7868.0,146.4,146.4,1.96,0.07,0.07
4888.0,TOI 4888,6243.0,127.9,127.9,1.58,0.07,0.07
4889.0,TOI 4889,3525.0,85.4,85.4,,,
4893.0,TOI 4893,4884.2,190.9,190.9,,,
4894.0,TOI 4894,5260.0,156.1,156.1,1.76,0.1,0.1
4897.0,TOI 4897,6618.0,122.0,122.0,1.23,,
4899.0,TOI 4899,7228.0,135.3,135.3,1.77,0.08,0.08
4906.0,TOI 4906,6059.0,122.0,122.0,1.09,,
4907.0,TOI 4907,5108.1,140.8,140.8,,,
4920.0,TOI 4920,6687.0,134.5,134.5,1.66,0.08,0.08
4928.0,TOI 4928,7544.0,136.9,136.9,2.08,0.08,0.08
493.0,TOI 493,4383.0,174.0,174.0,0.811865,0.0660754,0.0660754
4949.0,TOI 4949,6955.0,140.2,140.2,1.58,0.07,0.07
4953.0,TOI 4953,6808.0,122.0,122.0,1.4,,
4971.0,TOI 4971,5058.2,326.5,326.5,,,
4973.0,TOI 4973,5742.0,124.0,124.0,0.93,0.05,0.05
4975.0,TOI 4975,,,,,,
4979.0,TOI 4979,5156.0,127.0,127.0,1.31,0.08,0.08
5013.0,TOI 5013,6620.0,129.8,129.8,2.21,0.1,0.1
5017.0,TOI 5017,5575.2,133.0,133.0,2.3,0.14,0.14
5020.0,TOI 5020,6279.0,122.0,122.0,2.04,,
5025.0,TOI 5025,8219.0,145.9,145.9,1.42,0.07,0.07
5033.0,TOI 5033,3465.0,157.0,157.0,0.36,0.01,0.01
5035.0,TOI 5035,5406.0,127.7,127.7,1.05,0.06,0.06
