Host_ID,#,Flare_epcoh_TESS,Fl_Epochh,a,b,Teff,abb,Phase,Obs_time,Chi_Sq
M_219101992_3_kappa_0,2,1703.923403,2458703.923,0.811715735,-2.404637561,4000,1,0.175906409,972000,2.176955329
M_219101992_3_kappa_0,1,1690.156784,2458690.157,0.916970948,-2.672887835,4000,1,0.129609409,972000,5.01326782
M_219101992_3_kappa_0,3,1705.359509,2458705.36,0.862249122,-1.821350812,4000,1,0.170154432,972000,4.938465135
M_219101992_3_kappa_0,1,1702.505354,2458702.505,0.872416586,-2.027131567,4000,1,0.676701562,972000,0.835859449
M_219101992_3_kappa_0,1,1698.252596,2458698.253,1.556352375,-3.213727545,4000,1,0.808720977,972000,0.150002139
M_219101992_3_kappa_0,2,1698.460929,2458698.461,1.652200967,-3.111385366,4000,1,0.850387423,972000,0.26666946
M_219101992_3_kappa_0,4,1704.988677,2458704.989,1.268044603,-2.727232557,4000,1,0.155937158,972000,0.517463675
M_219101992_3_kappa_0,5,1705.553953,2458705.554,1.662415357,-3.656003746,4000,1,0.268992319,972000,0.306190006
M_219101992_3_kappa_0,6,1706.26784,2458706.268,1.14227864,-2.829867193,4000,1,0.411769631,972000,1.231454887
M_219101992_3_kappa_0,1,1688.397068,2458688.397,1.234075746,-2.890483059,4000,1,0.103274092,972000,0.779437285
M_219101992_3_kappa_0,3,1690.613727,2458690.614,1.13839847,-2.689235784,4000,1,0.546605814,972000,1.353230525
M_219101992_3_kappa_0,4,1702.526187,2458702.526,1.358757853,-2.981041366,4000,1,0.929097786,972000,0.306834699
M_219101992_3_kappa_0,1,1688.685956,2458688.686,0.935358833,-2.600334405,4000,1,0.365400558,972000,3.387421675
M_219101992_3_kappa_0,2,1692.453999,2458692.454,1.029403315,-2.050249022,4000,1,0.11900916,972000,0.751128194
M_219101992_3_kappa_0,3,1693.258164,2458693.258,1.238255121,-2.767208819,4000,1,0.279842081,972000,0.676241531
M_219101992_3_kappa_0,5,1705.603953,2458705.604,0.920781067,-2.406283655,4000,1,0.748999894,972000,1.498817541
M_219101992_3_kappa_0,1,1701.591469,2458701.591,0.946075009,-2.708225549,4000,1,0.762824698,972000,3.855028322
M_219101992_3_kappa_0,2,1704.752567,2458704.753,1.457458251,-3.022123157,4000,1,0.395044339,972000,0.365751015
M_219101992_3_kappa_0,1,1688.181792,2458688.182,0.917562159,-2.72354356,4000,1,0.884232502,972000,3.918359571
M_219101992_3_kappa_0,2,1695.42066,2458695.421,0.858243499,-2.022087619,4000,1,0.33200623,972000,0.901963977
M_219101992_3_kappa_0,1,1684.737362,2458684.737,1.110735798,-2.593562159,4000,1,0.841157481,972000,0.576899213
M_219101992_3_kappa_0,2,1684.897084,2458684.897,1.698834557,-4.408669739,4000,1,0.873101773,972000,0.229303993
M_219101992_3_kappa_0,3,1691.542891,2458691.543,0.962895441,-2.606815816,4000,1,0.202263197,972000,2.509341475
M_219101992_3_kappa_0,4,1691.904001,2458691.904,0.941884049,-2.191745881,4000,1,0.274485203,972000,0.776623674
M_219101992_3_kappa_0,5,1701.478969,2458701.479,1.065890574,-2.182260785,4000,1,0.189478907,972000,0.198493942
M_219101992_3_kappa_0,7,1706.440061,2458706.44,1.515011505,-3.021687421,4000,1,0.181697308,972000,0.469819097
M_219101992_3_kappa_0,8,1706.515061,2458706.515,1.696334837,-4.531635987,4000,1,0.196697263,972000,0.133328309
M_219101992_3_kappa_0,1,1703.959514,2458703.96,1.121991744,-2.534332037,4000,1,0.992237411,972000,0.735658371
M_219101992_3_kappa_0,1,1687.49985,2458687.5,1.552519424,-2.743647639,4000,1,0.20424476,972000,0.127436064
M_219101992_3_kappa_0,2,1690.491505,2458690.492,1.155565188,-2.655992515,4000,1,0.802575842,972000,1.197495238
M_219101992_3_kappa_0,3,1693.78594,2458693.786,1.268774229,-2.815289776,4000,1,0.461462877,972000,0.855203771
M_219101992_3_kappa_0,1,1692.663721,2458692.664,1.226785198,-2.500902389,4000,1,0.262649254,972000,0.817444045
M_219101992_3_kappa_0,3,1697.765099,2458697.765,1.191899369,-2.581490673,4000,1,0.282924866,972000,0.510622052
M_219101992_3_kappa_0,4,1701.415081,2458701.415,0.837866039,-2.191577892,4000,1,0.012921217,972000,0.715372692
M_219101992_3_kappa_0,5,1701.674802,2458701.675,1.387097653,-2.884825293,4000,1,0.064865427,972000,0.165759748
M_219101992_3_kappa_0,7,1705.14701,2458705.147,1.324027517,-2.585866198,4000,1,0.759307083,972000,0.312087551
M_219101992_3_kappa_0,8,1705.223399,2458705.223,1.675105405,-3.534408388,4000,1,0.774584807,972000,0.246714006
M_219101992_3_kappa_0,9,1709.430332,2458709.43,1.225437345,-2.496346691,4000,1,0.61597153,972000,0.517417476
M_219101992_3_kappa_0,1,1687.498461,2458687.498,1.401167376,-2.691108199,4000,1,0.048968099,972000,0.3174221
M_219101992_3_kappa_0,1,1683.917922,2458683.918,1.223763595,-2.732505982,4000,1,0.563535297,972000,1.039632389
M_219101992_3_kappa_0,2,1684.11931,2458684.119,1.632933871,-3.65489542,4000,1,0.603812879,972000,0.590942726
M_219101992_3_kappa_0,3,1685.238749,2458685.239,1.225345893,-2.283684535,4000,1,0.827700695,972000,0.431737252
M_219101992_3_kappa_0,4,1695.826216,2458695.826,1.472442868,-2.963481677,4000,1,0.945194056,972000,0.534750068
M_219101992_3_kappa_0,5,1699.467868,2458699.468,1.281108931,-2.676144757,4000,1,0.67352452,972000,0.428828794
M_219101992_3_kappa_0,1,1685.442914,2458685.443,1.123993938,-2.735729341,4000,1,0.955846595,972000,1.568844545
M_219101992_3_kappa_0,2,1688.042903,2458688.043,1.384696171,-2.932599473,4000,1,0.475844351,972000,0.614905233
M_219101992_3_kappa_0,1,1694.069273,2458694.069,0.887422686,-2.523788174,4000,1,0.114594166,972000,1.275528591
M_219101992_3_kappa_0,3,1705.019233,2458705.019,1.29303263,-2.508699399,4000,1,0.30458607,972000,0.393381903
M_219101992_3_kappa_0,4,1705.356732,2458705.357,0.812459015,-1.713971709,4000,1,0.372085833,972000,8.539487492
M_219101992_4_kappa_0,1,1697.927598,2458697.928,0.763977287,-2.119421835,4000,1,0.248362651,972000,0.402185186
M_219101992_4_kappa_0,3,1706.67895,2458706.679,0.887356115,-2.074502732,4000,1,0.99863293,972000,1.902072234
M_219101992_4_kappa_0,4,1706.84006,2458706.84,1.634401512,-1.902073161,4000,1,0.030855057,972000,0.389992104
M_219101992_4_kappa_0,1,1700.067865,2458700.068,1.217403536,-2.739517603,4000,1,0.733534969,972000,0.823335913
M_219101992_4_kappa_0,1,1687.023463,2458687.023,0.741620454,-2.212000712,4000,1,0.642641174,972000,0.840364459
M_219101992_4_kappa_0,2,1693.472052,2458693.472,1.261667657,-2.844046941,4000,1,0.932359029,972000,0.388366184
M_219101992_4_kappa_0,3,1693.670663,2458693.671,0.846640331,-2.706573571,4000,1,0.972081163,972000,7.92669704
M_219101992_4_kappa_0,1,1684.073477,2458684.073,1.466188903,-2.154331255,4000,1,0.966185922,972000,0.977154256
